2026-05-24 INIT     Manifest creato. WoW build 12.0.5.67602. Sync iniziale da AddOns folder.
2026-05-24 INSTALL  QuickQuest 120000.96-Release (rimosso stesso giorno, redundant con Leatrix Plus)
2026-05-24 INSTALL  Leatrix_Plus 12.0.15
2026-05-24 INSTALL  HandyNotes 1.6.28
2026-05-24 INSTALL  HandyNotes_MidnightTreasures v46 (rimosso stesso giorno, sostituito da HandyNotes_Midnight)
2026-05-24 INSTALL  Pawn 2.13.8 (rimosso stesso giorno, su richiesta utente)
2026-05-24 INSTALL  HandyNotes_Midnight v144
2026-05-24 REMOVE   HandyNotes_MidnightTreasures
2026-05-24 REMOVE   Pawn
2026-05-24 INSTALL  TeleportMenu 12.4
2026-05-24 INSTALL  LittleWigs 12.0.48
2026-05-24 INSTALL  Details 20260516.15079.171
2026-05-24 REMOVE   Details_Streamer, Details_Vanguard, Details_TinyThreat (plugin opzionali)
2026-05-24 INSTALL  TomTom 4.3.1
2026-05-24 REMOVE   QuickQuest (redundant con Leatrix Plus)
2026-05-25 SYNC     Audit Curseforge versioni: BigWigs v415.3, MDT 6.1.5, Plater v645-Retail, WeakAuras 5.21.6 (manifest aggiornato da unknown)
2026-05-25 ALERT    Leatrix_Plus 12.0.15 → 12.0.19 disponibile (rilasciata 2026-05-21). Download manuale richiesto (Cloudflare blocca curl)
2026-05-25 UPDATE   Leatrix_Plus 12.0.15 → 12.0.19. Download via forgecdn CDN diretto (mediafilez.forgecdn.net/files/8123/715/...). Backup vecchia versione in AddOns/Leatrix_Plus.bak-12.0.15-20260525-125345
2026-05-25 INSTALL  HandyNotes_MidnightGlyphs 1.1.1 (skyriding glyphs + vista points zone Midnight). Download forgecdn files/7954/554. Dipende da HandyNotes (già installato)
2026-05-25 SYNC     Tutti gli altri addon allineati alla latest stable Curseforge: LittleWigs, Details, HandyNotes, HandyNotes_Midnight, TeleportMenu, TomTom
2026-05-26 UPDATE   MythicDungeonTools 6.1.5 → 6.1.9 (rilasciato 2026-05-25). Download forgecdn files/8146/163. Installato con WoW running, richiede /reload
2026-05-26 UPDATE   Details 20260516.15079.171 → 20260525.15089.171 (rilasciato 2026-05-25). Download forgecdn files/8144/885. Esclusi Details_Streamer/TinyThreat/Vanguard come da preferenza utente. Richiede /reload
